EventNum,Event,Place,Crew,CrewAbbrev,Bow,Stroke,Start,Finish,500m,1000m,1500m,Backup_B,RawTime,PenaltyCode,AdjTime,Delta,Qual,Rank
26,W1x K1,,TBD,TBD,2,TBD,,,,,,,,,,,,
27,W1x K2,,TBD,TBD,1,TBD,,,,,,,,,,,,
27,W1x K2,,TBD,TBD,2,TBD,,,,,,,,,,,,
28,W1x K3,,TBD,TBD,1,TBD,,,,,,,,,,,,
28,W1x K3,,TBD,TBD,2,TBD,,,,,,,,,,,,
29,W1x K4,,TBD,TBD,1,TBD,,,,,,,,,,,,
29,W1x K4,,TBD,TBD,2,TBD,,,,,,,,,,,,
30,W1x K5,,TBD,TBD,1,TBD,,,,,,,,,,,,
30,W1x K5,,TBD,TBD,2,TBD,,,,,,,,,,,,
31,W1x K6,,TBD,TBD,1,TBD,,,,,,,,,,,,
31,W1x K6,,TBD,TBD,2,TBD,,,,,,,,,,,,
32,W1x K7,,TBD,TBD,1,TBD,,,,,,,,,,,,
32,W1x K7,,TBD,TBD,2,TBD,,,,,,,,,,,,
33,W1x K8,,TBD,TBD,1,TBD,,,,,,,,,,,,
33,W1x K8,,TBD,TBD,2,TBD,,,,,,,,,,,,
34,M2- S1,,TBD,TBD,1,TBD,,,,,,,,,,,,
34,M2- S1,,TBD,TBD,2,TBD,,,,,,,,,,,,
35,M2- S2,,TBD,TBD,1,TBD,,,,,,,,,,,,
35,M2- S2,,TBD,TBD,2,TBD,,,,,,,,,,,,
36,W1x Q1,,TBD,TBD,1,TBD,,,,,,,,,,,,
36,W1x Q1,,TBD,TBD,2,TBD,,,,,,,,,,,,
37,W1x Q2,,TBD,TBD,1,TBD,,,,,,,,,,,,
37,W1x Q2,,TBD,TBD,2,TBD,,,,,,,,,,,,
38,W1x Q3,,TBD,TBD,1,TBD,,,,,,,,,,,,
38,W1x Q3,,TBD,TBD,2,TBD,,,,,,,,,,,,
39,W1x Q4,,TBD,TBD,1,TBD,,,,,,,,,,,,
39,W1x Q4,,TBD,TBD,2,TBD,,,,,,,,,,,,
40,M2- FB,,TBD,TBD,1,TBD,,,,,,,,,,,,
40,M2- FB,,TBD,TBD,2,TBD,,,,,,,,,,,,
41,M2- FA,,TBD,TBD,1,TBD,,,,,,,,,,,,
41,M2- FA,,TBD,TBD,2,TBD,,,,,,,,,,,,
42,W1x S1,,TBD,TBD,1,TBD,,,,,,,,,,,,
42,W1x S1,,TBD,TBD,2,TBD,,,,,,,,,,,,
43,W1x S2,,TBD,TBD,1,TBD,,,,,,,,,,,,
43,W1x S2,,TBD,TBD,2,TBD,,,,,,,,,,,,
44,W1x FB,,TBD,TBD,1,TBD,,,,,,,,,,,,
44,W1x FB,,TBD,TBD,2,TBD,,,,,,,,,,,,
45,W1x FA,,TBD,TBD,1,TBD,,,,,,,,,,,,
45,W1x FA,,TBD,TBD,2,TBD,,,,,,,,,,,,
