EventNum,Event,Place,Crew,CrewAbbrev,Bow,Stroke,Start,Finish,500m,1000m,1500m,Backup_B,RawTime,PenaltyCode,AdjTime,Delta,Qual,Rank
7,M1x T2,2.0,MSĢ TSV SASS,SASS,[13:36] 3,RAFAELS Ralfs 09,13:35:55.88,13:36:46.52,,,,50.6,00:50.64,,00:50.64,00:00.25,,
7,M1x T2,3.0,MSĢ TSV Jūrmala,MSG,[13:35] 14,ARSENTJEVS Arnolds 07,13:34:53.10,13:35:43.90,,,,50.9,00:50.80,,00:50.80,00:00.41,,
7,M1x T2,4.0,MSĢ TSV SASS,SASS,[13:34] 11,ELSTS Eduards 09,13:33:54.59,13:34:45.58,,,,51.1,00:50.99,,00:50.99,00:00.60,,
7,M1x T2,5.0,Jelgavas BJSS,JBJSS,[13:33] 8,LIEPIŅŠ Kristers 09,13:32:55.85,13:33:47.94,,,,51.9,00:52.09,,00:52.09,00:01.70,,
7,M1x T2,6.0,MSĢ TSV SASS,SASS,[13:30] 13,PAMOVSKIS Elgars 09,13:29:35.25,13:30:28.18,,,,53.1,00:52.93,,00:52.93,00:02.54,,
7,M1x T2,7.0,MSĢ TSV SASS,SASS,[13:32] 20,EZERS Edvards 08,13:31:54.90,13:32:48.09,,,,53.1,00:53.19,,00:53.19,00:02.80,,
7,M1x T2,8.0,MSĢ TSV SASS,SASS,[13:46] 34,KRŪMIŅŠ Mareks 09,13:45:53.56,13:46:47.10,,,,53.7,00:53.54,,00:53.54,00:03.15,,
7,M1x T2,9.0,MSĢ TSV SASS,SASS,[13:40] 7,TRIŠKINS Matvejs 08,13:39:52.77,13:40:46.76,,,,53.5,00:53.99,,00:53.99,00:03.60,,
7,M1x T2,10.0,MSĢ TSV SASS,SASS,[13:44] 24,KUPLIS Jānis 09,13:43:46.31,13:44:40.55,,,,54.2,00:54.24,,00:54.24,00:03.85,,
7,M1x T2,11.0,Jelgavas BJSS,JBJSS,[13:37] 28,GAROZA Jānis 09,13:36:51.67,13:37:46.03,,,,54.4,00:54.36,,00:54.36,00:03.97,,
7,M1x T2,12.0,MSĢ TSV SASS,SASS,[13:38] 35,TRIŠKINS Ignatijs 08,13:37:59.39,13:38:53.87,,,,54.5,00:54.48,,00:54.48,00:04.09,,
7,M1x T2,13.0,MSĢ TSV SASS,SASS,[13:39] 22,BOZDORTS Raivo 08,13:38:57.00,13:39:51.60,,,,54.5,00:54.60,,00:54.60,00:04.21,,
7,M1x T2,14.0,MSĢ TSV SASS,SASS,[13:42] 23,KRIEVĀNS Renārs 09,13:41:49.20,13:42:44.14,,,,54.9,00:54.94,,00:54.94,00:04.55,,
7,M1x T2,15.0,Daugavpils Sporta skola,DSS,[13:41] 9,MURAVSKIS Grigorijs 07,13:41:00.60,13:41:56.14,,,,55.3,00:55.54,,00:55.54,00:05.15,,
7,M1x T2,16.0,MSĢ TSV SASS,SASS,[13:43] 27,ĶEKSIS Henrijs Oto 09,13:42:50.76,13:43:46.96,,,,56.1,00:56.20,,00:56.20,00:05.81,,
7,M1x T2,17.0,Jelgavas BJSS,JBJSS,[13:45] 2,LULBERGS Hermanis Toms 12,13:44:52.87,13:45:49.71,,,,56.7,00:56.84,,00:56.84,00:06.45,,
7,M1x T2,18.0,MSĢ TSV SASS,SASS,[13:47] 31,TEICĀNS Edgars 09,13:46:47.60,13:47:45.01,,,,57.5,00:57.41,,00:57.41,00:07.02,,
7,M1x T2,19.0,MSĢ TSV SASS,SASS,[13:48] 15,KĻAVIŅŠ Edvards 09,13:47:50.48,13:48:50.22,,,,59.7,00:59.74,,00:59.74,00:09.35,,
